#months Temperature Error
1 19.6878648233487 0.0411885951602343
2 20.5026936026936 0.0387574103294466
3 20.2514592933948 0.0344023126457483
4 19.1890476190476 0.0383576068059183
5 17.58736 0.0347478146887114
6 15.7223333333333 0.0334527937289705
7 14.4072580645161 0.0310623369311747
8 13.956935483871 0.024904851894149
9 14.3806666666667 0.0298845735928081
10 15.1952305246423 0.0329338683700678
11 16.4598412698413 0.03558643119451
12 17.9662058371736 0.0448937335057901
