#"months" "Wave height" "Error"
1 1.26661514683153 0.0269052206307728
2 1.38152542372881 0.0294577248381823
3 1.30734375 0.0281381135475631
4 1.24431630971993 0.0304148871047584
5 1.11873990306947 0.0281819141870796
6 1.11555555555556 0.0333143801246539
7 1.31298507462687 0.0373187768276135
8 1.2214405360134 0.0345366522389998
9 1.22093425605536 0.0323163907895717
10 1.05105348460292 0.0294537708006245
11 1.10715434083601 0.0286594018120864
12 1.18200312989045 0.027156841078825
