#"Time" "Trace" "error"
1 2.1440535582399 0.343539796157169
2 2.1273055561976 0.345480423492979
3 2.11193057968964 0.345156804307447
4 2.11030201565168 0.342555453447255
5 2.11607063467531 0.340014369676782
6 2.1320267008668 0.336303882420441
7 2.13425143478822 0.33634124948941
8 2.19989533125948 0.331332718383506
9 2.55066993053403 0.253300934163391
10 2.73060283533216 0.223610163048602
11 2.71961043882711 0.226346478843266
12 2.70624326859279 0.224919183989126
13 2.71727085025199 0.214410815917482
14 2.74763803137116 0.196261975711622
15 2.74903636025862 0.195332079322659
16 2.95490257204054 0.130080439315301
17 2.94204781285177 0.140709273222568
18 2.92318230904615 0.166459982063034
19 2.92909888654354 0.17604676887916
20 2.92314250497837 0.183271981338382
21 2.902821262037 0.186512904971058
22 2.89345518138694 0.185594366741132
23 2.88501908065289 0.181157604060474
24 2.83736634201779 0.179637205723533
25 2.86447144401501 0.145099510605697
26 2.85597872863009 0.158901322633178
27 2.6888917205403 0.197416505315862
28 2.57628460512516 0.234950852019205
29 2.53418478959735 0.247878828896942
30 2.59665155111484 0.231700296550467
31 2.77454298081974 0.18134372572965
32 2.83101504450386 0.169815070794807
33 2.78791707732133 0.194773569897953
34 2.73492843581922 0.222926069162286
35 2.67794176922314 0.23773646986256
36 2.61955797996192 0.256697819986506
37 2.56906337853914 0.274502518284422
38 2.55591212963932 0.27752765461088
39 2.52620625084613 0.282084967921272
40 2.5416694530559 0.275228454894123
41 2.59714111074551 0.258154228317663
42 2.72308014765279 0.218360539836002
43 2.86795209132273 0.170841661066409
44 2.97024430244097 0.141368314964494
45 3.0591142004975 0.120063082657625
46 3.07660359109157 0.11158509963169
47 3.04868344307765 0.118786213603365
48 2.99093687828683 0.13144164292702
49 2.91848686197432 0.165690613680008
50 2.94735882749394 0.149734928955415
51 2.95056253913356 0.154922276693691
52 3.0868411199454 0.100356574764877
53 3.09298784633335 0.0968272428625911
54 2.93034084730738 0.139400439082278
55 2.45558774577924 0.270547125097598
56 2.5323080227495 0.252336527330788
57 2.80546071073566 0.173266351722146
58 2.98922230263994 0.109125307286392
59 2.65098884785394 0.221887672295109
60 2.83858365399329 0.158079026991406
61 2.66460925821458 0.207966494493902
62 2.46088591022923 0.268217088364302
63 2.49702873099621 0.260793423840143
64 2.5379067707103 0.252301328842855
65 2.88325197684468 0.150093770405737
66 2.93142382197489 0.144753507671235
67 2.96034656726563 0.139955658889914
68 3.01271290067696 0.125652886331856
69 3.02618113002007 0.117639908496114
70 2.92481500906706 0.151478701795965
71 2.74932094059555 0.192149739962273
72 2.61814844031767 0.222159123537433
73 2.59486349666555 0.225858361155509
74 2.56505268297556 0.228565134869866
75 2.62457594149754 0.21509427278504
76 2.72125583878818 0.176630349951973
77 2.81457617584739 0.170104328048417
78 2.92742249991338 0.138178228789786
79 2.82688212152406 0.160985605339288
80 2.81695534322894 0.149572087123837
81 2.88972587407852 0.135893523164264
82 2.82610180481063 0.164673030957074
83 2.87736396117876 0.151021556377218
84 2.80355386781677 0.191547011101735
85 2.45604751623672 0.254165572490295
86 2.31595860235802 0.292488851896652
87 2.31745517601056 0.289906552179391
88 2.30630007265516 0.293109196804915
89 2.36201985083173 0.29076547044875
90 2.37665454694743 0.292300034456466
91 2.41274895930153 0.283062674784716
92 2.3003716563529 0.320501421703989
93 2.27343469079447 0.332974955304731
94 2.45503137521792 0.26643678159642
95 2.2682292816529 0.330796455120289
96 2.30826168367172 0.312496939782102
97 2.2723636612918 0.33117120056713
98 2.40206114820344 0.293918283584496
99 2.66596790328668 0.205544733729053
100 2.81214548780787 0.178344340918814
101 2.57083936440445 0.263543214817087
102 2.55345078519987 0.271530242804289
103 2.53381093956278 0.284293765057644
104 2.48222961226236 0.283912049175533
105 2.48595483581841 0.284682747372907
106 2.47032001799972 0.28538899870768
107 2.44954556470614 0.28398019273464
