#"months" "Waves" "Error"
1 1.4 0.122474487139159
2 1.06666666666667 0.123765939025385
3 1.11612903225806 0.105351105162694
4 0.82258064516129 0.0805504820566334
5 0.958620689655172 0.109242492654923
6 1.39032258064516 0.180283816788715
7 1.33 0.109350222973562
8 1.08387096774194 0.0830981767062567
9 1.06333333333333 0.108435407261156
10 1.14838709677419 0.157934991917148
11 1.08064516129032 0.152076618694396
12 1.12 0.13055143875469
13 0.932258064516129 0.0802398416542078
14 1.45666666666667 0.182994462156855
15 1.49354838709677 0.105232511010472
16 1.67096774193548 0.125740263813182
17 1.45357142857143 0.142212500553506
18 0.97741935483871 0.084841367144282
19 1.00666666666667 0.0927155250342437
20 0.929032258064516 0.114647055248453
21 1.25 0.176931053524104
22 1.11612903225806 0.092643004737233
23 1.95483870967742 0.217653108126059
24 2.02142857142857 0.20395281270685
25 1.5258064516129 0.205565976743019
26 1.54666666666667 0.116829115145129
27 1.16451612903226 0.105906063783747
28 1.2 0.0866335751547056
29 1.75357142857143 0.145067229703289
30 1.31612903225806 0.121292038423004
31 1.07333333333333 0.143032295471662
32 0.9 0.115934723940042
33 1.17333333333333 0.161667555395116
34 1.13870967741935 0.129902976147323
35 1.70645161290323 0.149186718820725
36 1.08333333333333 0.0965000545927227
37 1.10645161290323 0.0963791218937486
38 1.14666666666667 0.130932406298659
39 0.845161290322581 0.0620160765971505
40 0.909677419354839 0.0881536828510762
41 0.989285714285714 0.149101301251094
42 1.60967741935484 0.138994456353418
43 0.933333333333333 0.0809900424322649
44 0.925806451612903 0.114532029791124
45 0.823333333333333 0.10781884906898
46 1.37096774193548 0.130852748923352
47 1.39354838709677 0.155192248716684
48 1.29 0.137410367859934
49 0.774193548387097 0.0902764859339964
50 0.676666666666667 0.0630058076748984
51 1.08666666666667 0.0788907775932779
52 1.23548387096774 0.0965589003038437
53 1.12758620689655 0.103020461849614
54 0.996774193548387 0.103225806451613
55 0.816666666666667 0.0583456473045503
56 0.906451612903226 0.0819041511507185
57 1.39666666666667 0.144196811013675
58 1.36774193548387 0.168509410526546
59 1.08709677419355 0.141173418519307
60 1.10333333333333 0.114418402721005
61 1.6 0.153874687180311
62 1.35 0.164543953531201
63 1.38064516129032 0.135552977766915
64 0.745161290322581 0.0565759000474678
65 1.40357142857143 0.14387698144551
66 1.02413793103448 0.0988424596661377
67 0.93 0.0827890269812718
68 0.980645161290323 0.119174522322202
69 1.13 0.131669212837305
70 1.27741935483871 0.175039760608739
71 1.1258064516129 0.135596471386154
72 1.27931034482759 0.153399837376105
73 1.00645161290323 0.114152838864748
74 0.783333333333333 0.0759738813760426
75 0.97741935483871 0.128071693414976
76 1.23225806451613 0.0865574700967661
77 1.65714285714286 0.141741676820354
78 1.02903225806452 0.162520043322179
79 1.15666666666667 0.109720997616717
80 0.996 0.124026878807244
81 0.952941176470588 0.135613433922335
82 1.23548387096774 0.162939951146122
83 1.0258064516129 0.103276197377949
84 0.876666666666667 0.0946479664223839
85 1.06774193548387 0.167934133066829
86 1.01 0.0897442086627641
87 1.4 0.173018738496637
88 1.85483870967742 0.148746642479677
89 1.32142857142857 0.108788074020688
90 1.01612903225806 0.100010405285913
91 1.81333333333333 0.128182102264693
92 1.41935483870968 0.168064206550393
93 0.723333333333333 0.104791345318399
94 1.00967741935484 0.119708861765344
95 0.841379310344828 0.0968108766966865
96 1.05333333333333 0.136435183830906
97 0.806451612903226 0.0905105570829264
98 1.08 0.0964186274748709
99 1.51724137931034 0.178876416974641
100 1.54838709677419 0.129587514975251
101 1.16896551724138 0.0990227431053838
102 1.29677419354839 0.152504811908412
103 1.01333333333333 0.0816121093862144
104 0.990322580645161 0.104248961595579
105 1.13333333333333 0.18031475247934
106 1.17096774193548 0.109367049782908
107 0.912903225806452 0.130897804304336
108 1.43214285714286 0.119196335681552
109 1.04193548387097 0.142691048580935
110 0.92 0.0807151939149974
111 1.25806451612903 0.155596265092444
112 1.35161290322581 0.159223314317996
113 1.3 0.109351140632697
114 1.4258064516129 0.204832359566291
115 0.67037037037037 0.0814426221764426
116 1.35483870967742 0.157932795676047
117 1 0.162242877571718
118 0.916666666666667 0.109867562210389
119 1.05172413793103 0.123836525172811
120 1.79666666666667 0.210280782913787
121 0.8 0.156850726927338
122 0.673333333333333 0.0699644135049249
123 1.22258064516129 0.0962422657045392
124 1.07741935483871 0.0895279949512225
125 1.325 0.0965852147261873
126 1.08709677419355 0.0991080582733155
127 1.31 0.098884583831557
128 0.809677419354839 0.0996072760124316
129 1.18333333333333 0.18760948272319
130 2.04193548387097 0.232461082119062
131 1.43870967741935 0.181965222918328
132 1.05 0.131021626713557
133 1.2 0.168081026671941
134 1.59 0.22567141202841
135 1.31612903225806 0.0940254797534796
136 1.64516129032258 0.104607685903341
137 1.85714285714286 0.0991269523555301
138 1.37096774193548 0.104438441856229
139 1.79642857142857 0.168598497961101
140 1.08709677419355 0.116834773094119
141 1.03333333333333 0.104313115444032
142 1.25185185185185 0.192255347946346
